,phi
0,0.06588003933136684
1,0.016715830875123013
2,0.16420845624385455
3,0.11504424778761073
4,0.016715830875123013
5,0.016715830875123013
6,-0.08161258603736471
7,-0.11438872500819393
8,-0.08161258603736471
9,-0.08161258603736471
10,-0.032448377581120846
11,0.016715830875123013
12,0.016715830875123013
13,0.0822681088167815
14,-0.016060308095706226
15,-0.11438872500819393
16,-0.13077679449360854
17,-0.11438872500819393
18,0.0331039003605376
19,-0.06522451655195008
20,-0.04883644706653546
21,0.0331039003605376
22,0.016715830875123013
23,-0.032448377581120846
24,-0.016060308095706226
25,0.0331039003605376
26,0.0331039003605376
27,0.13143231727302532
28,0.11504424778761073
29,0.11504424778761073
30,0.0331039003605376
31,0.0822681088167815
32,-0.08161258603736471
33,-0.08161258603736471
34,-0.032448377581120846
35,0.0822681088167815
36,0.3117010816125862
37,0.09865617830219607
38,0.09865617830219607
39,0.21337266470009844
40,0.21337266470009844
41,0.11504424778761073
42,-0.032448377581120846
43,0.06588003933136684
44,-0.032448377581120846
45,0.0003277613897083927
46,-0.016060308095706226
47,0.08226810881678143
48,0.03310390036053763
49,-0.032448377581120846
50,0.22976073418551302
51,0.19698459521468378
52,0.0331039003605376
53,0.11504424778761073
54,0.21337266470009844
55,0.16420845624385455
56,0.0822681088167815
57,0.16420845624385455
58,0.16420845624385455
59,0.11504424778761073
60,0.06588003933136684
61,0.2625368731563423
62,0.41002949852507387
63,0.45919370698131773
64,0.36086529006882995
65,0.11504424778761073
66,0.13143231727302532
67,0.16420845624385455
68,0.1805965257292692
69,0.16420845624385455
70,0.11504424778761073
71,-0.032448377581120846
72,0.0822681088167815
73,0.06588003933136684
74,0.11504424778761073
75,0.2625368731563423
76,-0.04228121927236959
77,0.0331039003605376
78,-0.11438872500819393
79,-0.016060308095706226
80,-0.032448377581120846
81,-0.032448377581120846
82,0.11504424778761073
83,0.016715830875123013
84,0.0822681088167815
85,0.0822681088167815
86,0.0822681088167815
87,0.016715830875123013
88,0.3280891510980008
89,0.24614880367092762
90,0.19698459521468378
91,0.0822681088167815
92,0.21337266470009844
93,0.16420845624385455
94,-0.016060308095706226
95,0.0822681088167815
96,0.27892494264175693
97,0.1805965257292692
98,0.41002949852507387
99,0.16420845624385455
100,0.2625368731563423
101,0.22976073418551302
102,0.21337266470009844
103,0.0822681088167815
104,0.0003277613897083927
105,0.0331039003605376
106,0.06588003933136684
107,0.06588003933136684
108,0.0331039003605376
109,0.016715830875123013
110,0.016715830875123013
111,-0.032448377581120846
112,0.16420845624385455
113,-0.016060308095706226
114,0.16420845624385455
115,0.016715830875123013
116,-0.032448377581120846
117,0.11504424778761073
118,-0.032448377581120846
119,0.06588003933136684
120,0.06588003933136684
121,0.06588003933136684
122,0.11504424778761073
123,0.16420845624385455
124,-0.016060308095706226
125,0.08226810881678143
126,0.2789249426417569
127,0.3117010816125862
128,0.21337266470009844
129,0.16420845624385455
130,0.09865617830219607
131,0.3117010816125862
132,-0.09800065552277931
133,-0.016060308095706226
134,0.11504424778761073
135,0.0822681088167815
136,0.11504424778761073
137,0.16420845624385455
138,0.11504424778761073
139,-0.08161258603736471
140,-0.032448377581120846
141,-0.032448377581120846
142,-0.08161258603736471
143,-0.016060308095706226
144,-0.016060308095706226
145,0.0822681088167815
146,0.0822681088167815
147,0.016715830875123013
148,0.0331039003605376
149,0.0331039003605376
150,0.06588003933136684
151,0.2625368731563423
152,0.16420845624385455
153,0.16420845624385455
154,0.2625368731563423
155,0.0822681088167815
156,0.16420845624385455
157,0.11504424778761073
158,0.016715830875123013
159,0.3117010816125862
160,0.1805965257292692
161,0.11504424778761073
162,0.16420845624385455
163,0.06588003933136684
164,0.06588003933136684
165,-0.196329072435267
166,-0.11438872500819393
167,-0.09800065552277933
168,0.0822681088167815
169,0.0822681088167815
170,0.0003277613897083927
171,-0.016060308095706226
172,0.04949196984595225
173,0.1805965257292692
174,0.1805965257292692
175,0.11504424778761073
176,0.18059652572926913
177,0.09865617830219607
178,0.2625368731563423
179,0.0331039003605376
180,0.09865617830219607
181,0.11504424778761073
182,0.0331039003605376
183,0.16420845624385455
184,0.06588003933136684
185,0.11504424778761073
186,0.11504424778761073
187,0.0331039003605376
188,0.13143231727302532
189,0.22976073418551302
190,0.21337266470009844
191,0.16420845624385455
192,0.0822681088167815
193,0.06588003933136684
194,0.16420845624385455
195,0.0003277613897083927
196,0.18059652572926913
197,0.21337266470009844
198,0.11504424778761073
199,-0.06522451655195008
200,-0.11438872500819393
201,-0.11438872500819393
202,-0.09800065552277931
203,-0.09800065552277931
204,-0.016060308095706226
205,0.0822681088167815
206,0.09865617830219607
207,0.1805965257292692
208,0.22976073418551302
209,0.0822681088167815
210,0.21337266470009844
211,0.11504424778761073
212,0.21337266470009844
213,0.21337266470009844
214,0.11504424778761073
215,0.36086529006882995
216,0.2625368731563423
217,0.21337266470009844
218,-0.016060308095706226
219,-0.032448377581120846
220,-0.016060308095706226
221,-0.032448377581120846
222,-0.032448377581120846
223,0.0822681088167815
224,0.22976073418551296
225,0.0822681088167815
226,-0.016060308095706226
227,-0.032448377581120846
228,0.03310390036053763
229,0.2625368731563423
230,0.06588003933136684
231,0.06588003933136684
232,0.06588003933136684
233,0.0822681088167815
234,-0.032448377581120846
235,-0.11438872500819393
236,-0.13077679449360854
237,0.16420845624385455
238,0.1805965257292692
239,0.14782038675843998
240,0.0822681088167815
241,-0.016060308095706226
242,-0.016060308095706226
243,-0.032448377581120846
244,-0.06522451655195008
245,0.016715830875123013
246,0.45919370698131773
247,0.36086529006882995
248,0.2789249426417569
249,0.06588003933136684
250,0.2625368731563423
251,0.2789249426417569
252,-0.016060308095706226
253,0.18059652572926913
254,0.36086529006882995
255,0.36086529006882995
256,0.2625368731563423
257,0.1805965257292692
258,-0.032448377581120846
259,-0.13077679449360854
260,0.36086529006882995
261,-0.11438872500819393
262,0.0822681088167815
263,0.06588003933136684
264,0.06588003933136684
265,0.06588003933136684
266,0.21337266470009844
267,0.2625368731563423
268,-0.032448377581120846
269,0.16420845624385455
270,0.16420845624385455
271,0.11504424778761073
272,0.06588003933136684
273,0.11504424778761073
274,0.2625368731563423
275,0.3117010816125862
276,0.11504424778761073
277,0.11504424778761073
278,0.21337266470009839
279,0.3117010816125861
280,0.3117010816125862
281,0.2625368731563423
282,0.21337266470009844
283,0.16420845624385455
284,0.3117010816125862
285,0.21337266470009844
286,0.21337266470009844
287,0.06588003933136684
288,0.0822681088167815
289,-0.13077679449360854
290,0.16420845624385455
291,-0.032448377581120846
292,-0.032448377581120846
293,0.06588003933136684
294,0.11504424778761073
295,0.16420845624385455
296,0.06588003933136684
297,0.16420845624385455
298,0.06588003933136684
299,-0.032448377581120846
300,-0.08161258603736471
301,0.06588003933136684
302,-0.016060308095706226
303,0.06588003933136684
304,-0.016060308095706226
305,-0.032448377581120846
306,-0.032448377581120846
307,0.06588003933136684
308,-0.016060308095706226
309,0.0003277613897083927
310,0.16420845624385455
311,-0.032448377581120846
312,0.2625368731563423
313,0.21337266470009844
314,-0.06522451655195008
315,0.21337266470009844
316,0.16420845624385455
317,0.21337266470009844
318,0.16420845624385455
319,0.06588003933136684
320,-0.11438872500819393
321,0.0822681088167815
322,0.19698459521468378
323,0.11504424778761073
324,0.2625368731563423
325,0.16420845624385455
326,0.16420845624385455
327,0.3117010816125862
328,0.16420845624385455
329,0.16420845624385455
330,-0.032448377581120846
331,0.16420845624385455
332,-0.032448377581120846
333,0.16420845624385455
334,0.2625368731563423
335,0.1805965257292692
336,0.3280891510980008
337,0.1805965257292692
338,0.06588003933136684
339,0.2625368731563423
340,0.16420845624385455
341,0.16420845624385455
342,0.36086529006882995
343,0.2625368731563423
344,-0.13077679449360854
345,-0.22910521140609624
346,0.1805965257292692
347,-0.11438872500819393
348,0.1805965257292692
349,0.2625368731563423
350,0.16420845624385455
351,0.06588003933136684
352,0.06588003933136684
353,0.2625368731563423
354,0.2625368731563423
355,0.11504424778761073
356,0.16420845624385455
357,0.1805965257292692
358,0.3117010816125861
359,0.21337266470009844
360,0.16420845624385455
361,0.21337266470009844
362,-0.08161258603736471
363,-0.032448377581120846
364,0.21337266470009844
365,0.21337266470009844
366,0.016715830875123013
367,-0.11438872500819393
368,-0.06522451655195008
369,-0.016060308095706226
370,-0.11438872500819393
371,0.36086529006882995
372,0.16420845624385455
373,0.06588003933136684
374,0.16420845624385455
375,0.06588003933136684
376,0.06588003933136684
377,0.16420845624385455
378,0.3117010816125862
379,0.16420845624385455
380,0.36086529006882995
381,0.0822681088167815
382,0.11504424778761073
383,0.1805965257292692
384,0.1805965257292692
385,0.0822681088167815
386,0.06588003933136684
387,0.06588003933136684
388,-0.016060308095706226
389,0.016715830875123013
390,-0.032448377581120846
391,-0.016060308095706226
392,0.0822681088167815
393,0.06588003933136684
394,-0.032448377581120846
395,-0.032448377581120846
396,-0.032448377581120846
397,0.21337266470009844
398,0.016715830875123013
399,0.016715830875123013
400,0.11504424778761073
401,0.016715830875123013
402,0.06588003933136684
403,0.13143231727302532
404,0.0822681088167815
405,0.3117010816125862
406,0.3117010816125862
407,0.21337266470009839
408,0.2625368731563423
409,0.21337266470009844
410,0.056047197640118125
411,0.056047197640118125
412,0.056047197640118125
413,0.056047197640118125
414,-0.016060308095706226
415,-0.08161258603736471
416,-0.08161258603736471
417,0.11504424778761073
418,0.016715830875123013
419,0.016715830875123013
420,-0.04228121927236959
421,0.016715830875123013
422,0.06588003933136684
423,0.06588003933136684
424,0.06588003933136684
425,0.06588003933136684
426,0.016715830875123013
427,0.16420845624385455
428,0.0822681088167815
429,0.016715830875123013
430,0.11504424778761073
431,0.11504424778761073
432,0.11504424778761073
433,0.11504424778761073
434,0.06588003933136684
435,-0.09800065552277933
436,0.00032776138970835856
437,0.0822681088167815
438,0.016715830875123013
439,0.0331039003605376
440,0.0331039003605376
441,0.1805965257292692
442,0.0331039003605376
443,0.11504424778761073
444,-0.08161258603736471
445,0.11504424778761073
446,0.0822681088167815
447,0.06588003933136684
448,0.016715830875123013
449,0.06588003933136684
450,0.11504424778761073
451,0.13143231727302532
452,0.16420845624385455
453,0.13143231727302532
454,0.11504424778761073
455,0.11504424778761073
456,0.0822681088167815
457,0.21337266470009844
458,0.16420845624385455
459,-0.016060308095706226
460,0.08226810881678143
461,0.06588003933136684
462,0.16420845624385455
463,-0.032448377581120846
464,-0.016060308095706226
465,0.016715830875123013
466,0.2625368731563423
467,0.016715830875123013
468,0.016715830875123013
469,0.11504424778761073
470,0.1805965257292692
471,0.3117010816125861
472,0.21337266470009839
473,-0.016060308095706226
474,0.016715830875123013
475,0.16420845624385455
476,0.37725335955424455
477,-0.2127171419206816
478,-0.016060308095706226
479,0.16420845624385455
480,0.16420845624385455
481,-0.016060308095706226
482,-0.032448377581120846
483,-0.032448377581120846
484,-0.016060308095706226
485,-0.08161258603736471
486,-0.032448377581120846
487,-0.08161258603736471
488,0.016715830875123013
489,-0.13077679449360854
490,-0.06522451655195008
491,0.016715830875123013
492,0.0822681088167815
493,0.06588003933136684
494,-0.06522451655195008
495,-0.016060308095706226
496,0.06588003933136684
497,0.06588003933136684
498,0.06588003933136684
499,0.06588003933136684
500,0.11504424778761073
501,0.06588003933136684
502,0.2625368731563423
503,-0.032448377581120846
504,0.0822681088167815
505,0.06588003933136684
506,0.13143231727302532
507,0.14782038675843998
508,0.016715830875123013
509,0.016715830875123013
510,0.13143231727302532
511,0.0822681088167815
512,0.06588003933136684
513,-0.032448377581120846
514,0.1805965257292692
515,0.27892494264175693
516,0.13143231727302532
517,0.03310390036053763
518,0.03310390036053763
519,0.08226810881678143
520,0.2625368731563423
521,0.11504424778761073
522,0.2625368731563423
523,0.13143231727302532
524,0.18059652572926913
525,0.18059652572926913
526,0.06588003933136684
527,0.03310390036053763
528,-0.016060308095706226
529,0.03310390036053763
530,-0.016060308095706226
531,-0.016060308095706226
532,-0.016060308095706226
533,-0.016060308095706226
534,-0.016060308095706226
535,0.2625368731563423
536,0.37725335955424466
537,0.3936414290396591
538,0.11504424778761073
539,0.016715830875123013
540,0.11504424778761073
541,-0.016060308095706226
542,0.06588003933136684
543,-0.032448377581120846
544,0.11504424778761073
