,phi
0,0.11856644373364347
1,0.10947949985460889
2,0.10039255597557431
3,0.19126199476592032
4,0.13674033149171272
5,0.18217505088688565
6,0.10039255597557423
7,0.10039255597557423
8,0.03678394882233206
9,0.009523117185228304
10,0.11856644373364356
11,0.09130561209653973
12,0.07313172433847055
13,0.19126199476592032
14,0.3275661529514393
15,0.27304448967723166
16,0.21852282640302406
17,0.11856644373364347
18,0.06404478045943589
19,0.08221866821750513
20,0.2457836580401279
21,0.2457836580401279
22,0.2730444896772317
23,0.11856644373364347
24,0.1458272753707473
25,0.09130561209653965
26,0.1458272753707473
27,0.2457836580401279
28,0.4002617039837163
29,0.4002617039837163
30,0.30030532131433557
31,0.30030532131433557
32,0.31847920907240473
33,0.26395754579819714
34,0.12765338761267805
35,0.13674033149171272
36,0.005888339633614485
37,0.054957836580401306
38,-0.008650770572840867
39,-0.008650770572840867
40,0.009523117185228304
41,0.03678394882233214
42,0.08221866821750513
43,0.04587089270136665
44,0.07313172433847048
45,0.11856644373364347
46,0.06404478045943589
47,0.13674033149171266
48,0.14946205292236114
49,0.004070950857807538
50,-0.05045071241640005
51,-0.017737714451875528
52,0.03678394882233214
53,0.06404478045943589
54,0.13674033149171272
55,0.10947949985460889
56,0.23669671416109325
57,0.23669671416109325
58,0.2548706019191624
59,0.10039255597557431
60,0.13674033149171272
61,0.10947949985460882
62,0.3003053213143355
63,0.2457836580401279
64,0.291218377435301
65,0.34574004070950864
66,0.37300087234661233
67,0.4547833672579237
68,0.4366094794998546
69,0.4275225356208198
70,0.3003053213143355
71,0.35482698458854317
72,0.20943588252398956
73,0.22760977028205864
74,0.17308810700785116
75,0.09130561209653973
76,0.11856644373364347
77,0.14582727537074738
78,0.027697004943297476
79,-0.026824658330910113
80,0.054957836580401306
81,0.03678394882233206
82,0.03678394882233206
83,0.01861006106426289
84,0.13674033149171266
85,0.07313172433847048
86,0.07313172433847048
87,0.054957836580401306
88,0.009523117185228304
89,0.20943588252398948
90,0.13674033149171272
91,0.09130561209653973
92,0.22760977028205873
93,0.2821314335562664
94,0.30030532131433557
95,0.2784966560046525
96,0.20943588252398948
97,0.22760977028205873
98,0.21852282640302406
99,0.08221866821750513
100,0.08221866821750513
101,0.13674033149171266
102,0.16945332945623717
103,0.24214888048851416
104,0.20943588252398956
105,0.30030532131433557
106,0.3275661529514393
107,0.2912183774353009
108,0.31847920907240473
109,0.3003053213143355
110,0.2548706019191625
111,0.11856644373364347
112,0.17308810700785107
113,0.11856644373364347
114,0.19126199476592023
115,0.3093922651933701
116,0.3003053213143355
117,0.36391392846757764
118,0.3093922651933701
119,0.2821314335562663
120,0.17308810700785116
121,0.17308810700785116
122,0.38208781622564697
123,0.20943588252398948
124,0.2639575457981971
125,0.28213143355626624
126,0.3275661529514393
127,0.21852282640302406
128,0.2548706019191625
129,0.19126199476592032
130,0.13674033149171272
131,0.10039255597557423
132,0.10039255597557423
133,0.09130561209653965
134,0.11856644373364347
135,0.03678394882233206
136,0.16400116312881655
