,phi
0,-0.04692085842216388
1,-0.037560666522487254
2,-0.029665298795884934
3,-0.04722986222086012
4,-0.024547160503432572
5,-0.0006316106254155241
6,-0.023763671518372425
7,0.009420914820326814
8,0.005525060719343901
9,-0.008583049182866278
10,-0.00428741246863858
11,0.03148854414642171
12,0.02727782276636122
13,-0.004361599012353431
14,0.008604247455144239
15,0.02784724966120013
16,0.030339174139598434
17,-0.008631292540824028
18,-0.007131797353320399
19,0.01990974774863336
20,0.004565100460688862
21,0.036440214433792764
22,0.027504100889989728
23,0.03601186766753263
24,0.026465992335712733
25,0.023037327259860862
26,0.018079516222577533
27,0.03632790024883253
28,0.04179627617016373
29,0.01102801061076874
30,0.022864532888320552
31,0.047969374194231605
32,0.0665555518387883
33,0.027319184448605264
34,0.0609323532326658
35,0.030767104231369437
36,0.020207973464516235
37,0.04951017869084572
38,0.06820373435252308
39,0.06597070105611035
40,0.10175731560385402
41,0.09534105682250968
42,0.08062074965996183
43,0.07487308168072966
44,0.0643011503038753
45,0.04554193182597307
46,0.045896157514935476
47,0.032644864376148275
48,0.029954482690755832
49,0.06871434621835264
50,0.05222126085728531
51,0.025672979020663046
52,0.037076024275443355
53,0.07151240706638376
54,0.08125976735604412
55,0.08067085765551363
56,0.08757896331700345
57,0.03112515315908307
58,0.01213228272842163
59,0.03459260735047899
60,0.04203785495072873
61,0.02269634427176259
62,0.0053218005879233045
63,0.03903666490411107
64,0.03316029457026708
65,0.055121161263561015
66,0.05896634435780615
67,0.07585907369735287
68,0.09233811227591714
69,0.08919056550751259
70,0.05828135614372489
71,0.04381622167067844
72,0.07346456324741177
73,0.07774037133922777
74,0.09214522202494528
75,0.08337960921750893
76,0.09289101544711187
77,0.11686153092882016
78,0.10810975772193222
79,0.08668822955823602
80,0.09882740539203752
81,0.0765031215248381
82,0.07139249877705445
83,0.060611070244724674
84,0.08413898884668046
85,0.11710562901114913
86,0.14218891415143342
87,0.11050611663541143
88,0.07471709292352315
89,0.10048137513703274
90,0.114605270147665
91,0.08224984216650709
92,0.10542301596932348
93,0.0901143228375811
94,0.08720310983445233
95,0.07634348821368908
96,0.11917885878372853
97,0.09419911301795061
98,0.12360880100766787
99,0.1337870350672835
100,0.14718862600615942
101,0.13921963474702823
102,0.15093223140782788
103,0.15195578574393134
104,0.13838330666153872
105,0.14501288891788222
106,0.11974253772715726
107,0.13050378950977554
108,0.12117043884105816
109,0.15128760930572893
110,0.1464855952475602
111,0.14590668881554342
112,0.1366122644783588
113,0.1479677287412823
114,0.15024884057432075
115,0.14561599635877132
116,0.11824505890529627
117,0.14683111390306494
118,0.15476523774851583
119,0.10067570564917808
120,0.12746041290405982
121,0.11142442715958764
122,0.10388391359955064
123,0.13683632136496907
124,0.15173822774704368
125,0.15823507568768283
126,0.16583647301550553
127,0.15440913351794644
128,0.1841476262423551
129,0.18363543008923464
130,0.1807389601232084
131,0.20157740509748479
132,0.20983600207086617
133,0.21102613377947685
134,0.18279026788841932
135,0.18648382151863524
136,0.1534612560898218
137,0.19203312163327757
138,0.16575340922564913
139,0.16163182691894015
140,0.15426371262136215
141,0.14326420236080906
142,0.14259047437044742
143,0.13810319665852225
144,0.15679597981647936
145,0.11504812427192666
146,0.112097709978314
147,0.14213567378037767
148,0.15091122593029696
149,0.12304519677297393
150,0.1264089044079085
151,0.17322867895452984
152,0.16802952250520323
153,0.16340220904659852
154,0.160682773365353
155,0.15374792659801226
156,0.12179087716800313
157,0.14400064717863179
158,0.12696848515363468
159,0.1544261740817247
160,0.13934856815958238
161,0.14261886060884724
162,0.13210750723310163
163,0.1171384145927696
164,0.08350671881270545
165,0.09996920517047915
166,0.0950072304690764
167,0.10414137992422558
168,0.12539867903430107
169,0.13942975575894767
170,0.13407445882436575
171,0.12935408138816332
172,0.1350048413558319
173,0.14417205982367745
174,0.14215301698952376
175,0.16619989018941095
176,0.18844141988439658
177,0.2066428691108399
178,0.1503747848672951
179,0.1792648397189238
180,0.21046608167554856
181,0.20880834106493554
182,0.20539604810628864
183,0.1918049057037066
184,0.16794357511222735
185,0.15023323338051425
186,0.18444703035374335
187,0.16626572783947885
188,0.15562203602730335
189,0.15559145011729317
190,0.17747236922217857
191,0.18880939814208222
192,0.18664599492676304
193,0.19028097844938818
194,0.18690459497574127
195,0.19401950365709947
196,0.18968913585337743
197,0.20166865218946298
198,0.19010940406378304
199,0.1684051133518933
200,0.17914753699299005
201,0.189221247371265
202,0.18632683305073178
203,0.19023420924110218
204,0.14418670273567172
205,0.15173649943363557
206,0.15683211727864887
207,0.12097383009760224
208,0.15182624079802334
209,0.18049237970838644
210,0.12664282900903978
211,0.13546848761412447
212,0.12828544687733168
213,0.13727744255466373
214,0.11808322592253682
215,0.11589230062552167
216,0.1427391224168283
217,0.16532227359002588
218,0.17063919411097772
219,0.13879384117103
220,0.14650825972111647
221,0.12319468664045775
222,0.13221505546290635
223,0.17273215546163306
224,0.16859321146114273
225,0.17772660381643432
226,0.1857330788353454
227,0.16349745344097782
228,0.141198579785882
229,0.13688127907898784
230,0.14574972653420684
231,0.1322455589622505
232,0.15426669788997635
233,0.16272366272794736
234,0.12168042222928493
235,0.13724722325658853
236,0.15169551745660986
237,0.1737810845809557
238,0.1566876721762377
239,0.11399594801832227
240,0.14565480022959465
241,0.17370408298131096
242,0.17097011375549737
243,0.18615659418003286
244,0.16815854063900293
245,0.1820754793613315
246,0.17591319484896137
247,0.16805658324120765
248,0.17461629203542517
249,0.17080431350786923
250,0.1852130921786051
251,0.21830984877229204
252,0.21520865222710503
253,0.19918441115783805
254,0.19052453970709796
255,0.18556953063246118
256,0.17738545600700403
257,0.192084091474954
258,0.1845982054038195
259,0.23050848120598924
260,0.24131648371225847
261,0.25632352607922054
262,0.25730554852039567
263,0.25397561231430194
264,0.2593882709234366
265,0.23289102670548717
266,0.23383688549792597
267,0.2267439704518983
268,0.2368280199028964
269,0.2541948200648974
270,0.24327858308673495
271,0.24566847391821714
272,0.2442329263268137
273,0.272699374180771
274,0.2330792688408537
275,0.22025988923276213
276,0.21130386850684696
277,0.2411725546392516
278,0.2563050383630671
279,0.24106372326767425
280,0.252925871411409
281,0.2676624928050667
282,0.2725184250042552
283,0.2566332607912076
284,0.26611939698385845
285,0.29003930692524577
286,0.26015174027818605
287,0.24589192389263262
288,0.2479925948766282
289,0.271676265016303
290,0.29535117343880735
291,0.24068639640564468
292,0.25372909197454513
293,0.2740687745044642
294,0.2894990996177853
295,0.26785102530324756
296,0.2726905362144796
297,0.2826002532182352
298,0.26269126115230373
299,0.27321013007271794
300,0.25853176069688355
301,0.2574801081746149
302,0.25339031635998854
303,0.24703952399561807
304,0.24841657541797277
305,0.2362367795979217
306,0.2483972058306729
307,0.2557463217740453
308,0.22447851356464102
309,0.23039652053968057
310,0.225622107122908
311,0.21561790898617578
312,0.24315953895410972
313,0.2580138381577609
314,0.2496315581784666
315,0.25052564073701067
316,0.27339850314091874
317,0.2779709133814766
318,0.28444868440820964
319,0.2673729479360745
320,0.263215254353763
321,0.24150241372781633
322,0.237372032734666
323,0.2571116893664526
324,0.24235045260001264
325,0.22473262800876712
326,0.25947124306030916
327,0.27450711144595463
328,0.2828648422890769
329,0.2973638860555363
330,0.29461234564340677
331,0.2822798082004313
332,0.29226959063214586
333,0.2881679363027638
334,0.316619970762283
335,0.32806440157529476
336,0.31684026294482076
337,0.2965074020155502
338,0.2751982758388326
339,0.26790919645079114
340,0.2585646641180547
341,0.25613710391024563
342,0.22681296743422993
343,0.249164040159255
344,0.2382303367410441
345,0.27368885979348134
346,0.27301112525840077
347,0.281467029540417
348,0.31039574885791044
349,0.32661822223777437
350,0.27179570194743
351,0.28028051619918193
352,0.2841857820603464
353,0.2659685623591506
354,0.26927756779644796
355,0.2671731290276075
356,0.2637979316513973
357,0.22648029328973535
358,0.24431678880695712
359,0.24143650213920695
360,0.2589777964890102
361,0.27904581957505437
362,0.2640507629537506
363,0.24518813372359624
364,0.25462277403265565
365,0.23610637973762744
366,0.23654417061218092
367,0.232464971263821
368,0.23681704773141143
369,0.2317078128716676
370,0.24336374642309355
371,0.24263301874895535
372,0.23370968656032512
373,0.23256073553857026
374,0.24181612340660313
375,0.2542718162731901
376,0.2818710828746278
377,0.24813125505835834
378,0.25475267249721534
379,0.24313902177903007
380,0.22498205505743765
381,0.21806889307797803
382,0.21138114506544284
383,0.2711004578414851
384,0.22926831158940264
385,0.2631390514444052
386,0.22251111680174177
387,0.20843245446407951
388,0.22748559558878645
389,0.2108761371249064
390,0.21563097608300372
391,0.2592648536341572
392,0.2555278472473198
393,0.26273721395586064
394,0.27590935819652646
395,0.2957081225307158
396,0.2870739531952798
397,0.2535833981863701
398,0.2773601995131282
399,0.3043730741754132
400,0.29674605791314557
401,0.2657734570327055
402,0.2711372407255067
403,0.28569581965156227
404,0.2887691275031185
405,0.3296148558217709
406,0.336575297647569
407,0.3294401652347177
408,0.3123396562703998
409,0.3104904656699882
410,0.29150434059085456
411,0.29698317265426627
412,0.3190306906970671
413,0.27135657940893604
414,0.27590826298188015
415,0.28884856676405396
416,0.30343488804704366
417,0.332200448109189
418,0.31511058783523666
419,0.33142350037447427
420,0.3333484841414924
421,0.324331862308674
422,0.34995317665021675
423,0.32931402454249226
424,0.32513184652023225
425,0.3734030184223667
426,0.33411954760061074
427,0.31053922505735027
428,0.3017748953916867
429,0.32334702250098946
430,0.34096797638696674
431,0.3135117015334833
432,0.30624194398076693
433,0.290515252397805
434,0.2590201401675089
435,0.2931780288206424
436,0.2842441673215831
437,0.2683086160193112
438,0.3041314530342254
439,0.29244432049904917
440,0.3202843463955501
441,0.302912701718693
442,0.31576306060280757
443,0.33016465203383527
444,0.32155833596314537
445,0.32309836795603947
446,0.3349534326334575
447,0.3193842355352926
448,0.331621113449786
449,0.3142526974225754
450,0.3185303701519855
451,0.2993963302503409
452,0.28709203501964803
453,0.2956091542525004
454,0.3164821354574065
455,0.30719224139627666
456,0.32750831673623493
457,0.31873598707441714
458,0.28298911064177673
459,0.33817676332615115
460,0.306883213721593
461,0.32254115709460773
462,0.3151768136626476
463,0.31532674485080114
464,0.3293051734829175
465,0.31943286398982085
