,phi
0,-0.016870769269822287
1,0.04593637899057351
2,-0.034101751551472034
3,-0.004440326459001442
4,0.07619706487363569
5,0.007371095306411308
6,0.030901710954208943
7,0.047193219376539655
8,0.11883183876372139
9,0.060949723587663596
10,0.10384562944555784
11,0.08444963668943792
12,0.0494274909469996
13,0.09146208216848006
14,0.051590978318664445
15,0.045081357173644955
16,0.0306719228388679
17,0.042322336605096274
18,0.013320575353944545
19,0.04913208916607124
20,0.08371181362521418
21,0.0988027963837233
22,0.03666465098974202
23,0.01503699197059242
24,-0.012109309410446073
25,0.0028743747635928837
26,0.07565516092816052
27,-0.004517443558934474
28,0.03473880773736126
29,0.00029443901962871447
30,0.024162822755334535
31,-0.029907687568733736
32,0.060528625743642775
33,0.06790385026192267
34,0.029945042065850882
35,0.05378204186743631
36,0.02192173730390337
37,0.06844471208442567
38,0.03572830349933935
39,0.042917909883632914
40,0.06671426688930769
41,0.08767761259541697
42,0.049501000698183154
43,-0.005003072863917924
44,-0.004143842473448287
45,-0.015985485805051
46,0.007329931449014627
47,0.037930189094359724
48,0.022709582270786465
49,0.08322357901280064
50,0.08590079292804188
51,0.11874225626977639
52,0.11405831432686075
53,0.08077719533587223
54,0.036385883094713925
55,0.04781067723748966
56,0.07512993095023854
57,0.05539576928968279
58,0.03890834174860321
59,0.0177631455838682
60,0.042309149741334394
61,0.04692174634231603
62,0.022480836278417602
63,0.024357178689625093
64,0.06113686482445527
65,0.0019822774178503157
66,0.08613005998189681
67,0.05881445369955012
68,0.06682056343245855
69,0.008203751561093235
70,0.008442918783182726
71,0.0854839437392149
72,-0.005968078736052376
73,0.034742455167763545
74,0.0033943941266545395
75,0.013783799015028563
76,-0.0007529346489517402
77,0.031642139325862746
78,0.04646842284946684
79,0.12338230880290683
80,0.01602801083537582
81,-0.00989427703331666
82,0.0163474215263145
83,0.0024720752147220763
84,0.01971399978757843
85,-0.007337949382835095
86,0.0690809281588729
87,0.040106262104994746
88,0.062213979079392585
89,0.021242794187601447
90,0.022322433586663363
91,0.07747001808401603
92,0.07490170601935574
93,0.02862779862915759
94,0.09371827840300619
95,0.029656374002588255
96,0.008778843115063334
97,-0.01685201105632517
98,0.06869325841326374
99,0.07020958741927466
100,0.07564005014506553
101,0.028472883041194483
102,0.011999684486849002
103,-0.017968645820895454
104,0.004178551581482546
105,-0.04182231959003394
106,0.027540864369291176
107,0.002877461050856304
108,0.055495813095001185
109,0.021863378417467588
110,0.039127227654390154
111,0.007538877104914092
112,0.0034692265723796083
113,0.037552539761943504
114,0.040912865285375084
115,-0.015851051941654336
116,0.020768628235310775
117,0.029222850846208206
118,-0.021102309597902342
119,0.02530025989769353
120,0.03800690537776485
121,0.005364567687000843
122,0.019566579468683645
123,0.04233107440540058
124,0.04192420554811375
125,-0.005540808317504775
126,-0.008631745052656901
127,0.037110559376828556
128,0.046190697077410706
129,0.02320459068251846
130,0.028515249348174333
131,0.04773043376864054
132,0.07577448400846234
133,0.05312863076395001
134,0.09941191726089679
135,0.08332153857217496
136,0.050349689613973785
137,0.045203806622862844
138,0.04136879408565464
139,0.0004659884934921932
140,0.0683122422220148
141,0.02344584215055212
142,0.07965587101792758
143,0.02931507872923617
144,0.062200832297283515
145,0.04401630749619204
146,-0.009243992298746553
147,-0.05469462254101141
148,-0.015290389782682025
149,0.02659513777214
150,0.014894581858294112
151,0.023358303820898395
152,-0.03374534549502497
153,0.05716998364962765
154,0.04948380566914398
155,0.01958529760052809
156,-0.0352918559855731
157,0.02810413183569375
158,-0.023410371491115207
159,0.011448762169500241
160,0.0333397576473607
161,-0.04240903482330797
162,-0.003169457494565194
163,0.01817791052675097
164,0.02042472765452849
165,0.028758585062152037
166,-0.01371261560297186
167,0.05729868583667802
168,0.02218222796526757
169,0.03549278370765211
170,0.06909030726562147
171,0.06147130613518333
172,0.04626312462396946
173,0.043867283911186314
174,0.041594934770593235
175,0.040182737898483464
176,0.1017035456764731
177,0.10804799033041985
178,0.06515160349269246
179,0.0950787699430402
180,0.018486378926482968
181,0.08142435370152615
182,0.03177813637371765
183,0.055355126493772104
184,0.06395889375116119
185,0.03420471971417669
186,0.003965838250222452
187,0.017750640108203306
188,0.08449340585426483
189,0.008251649136155555
190,0.03590911183499306
191,0.047075980542182025
192,0.06314760101740674
193,0.08334711066664335
194,0.024526002611100026
195,0.036705814847138606
196,0.03783391296440173
197,0.0034109478492494
198,0.01645668411177048
199,0.010508446595473184
200,0.03234974082389662
201,0.06365876233520579
202,0.04714736596576873
203,0.030092502466398437
204,0.048730871821825256
205,0.029783993985013704
206,0.05018150699894316
207,0.08624573563179626
208,0.06376549977653712
209,0.035238505702467594
210,0.016004563068504268
211,0.07035700773816944
212,0.11154587608616441
213,0.03964772799728513
214,-0.01034150811494468
215,0.06682577404731892
216,0.07976200723446733
217,0.08186829808762683
218,-0.00852596957099202
219,0.015848244622694196
220,0.0410186407670399
221,0.05477075603718528
222,0.09391341592952576
223,0.1374457583109574
224,0.08742541883617666
225,0.12111621240014597
226,0.04350879360879509
227,0.11736092227030098
228,0.0630772577167921
229,0.07564682394438396
230,0.04658233490664429
231,0.05387062232006209
232,0.06850832166737456
233,0.025176287345670102
234,0.03280619068566223
235,0.031236753489728517
236,0.029129059778722034
237,0.08245449225941485
238,0.027899394753335204
239,0.01418657954373256
240,0.018899320154164692
241,0.0015533235698863208
242,0.08237757556774565
243,0.0238647755853232
244,0.12678640349116516
245,0.06749742230281629
246,0.011774585924882423
247,0.0016696405262301426
248,0.042149344191733065
249,0.05600905865874446
250,-0.003130217556501632
251,0.038757754979139435
252,0.061315027771026036
253,0.049987151064652596
254,0.06050842459064582
255,0.04576186347440496
256,0.05655304685016373
257,0.025408680768441185
258,0.037369647180345626
259,0.04718331920830505
260,0.01865572390944396
261,-0.007399915618020423
262,0.05416814842858736
263,0.03479716662379711
264,0.004883547772086187
265,0.07648625399838437
266,0.10188070658172467
267,0.08991713486238989
268,0.08589241586261262
269,0.07304776925204774
270,0.06895795764816882
271,0.08354767925711355
272,0.11813365645408899
273,0.15393162266757893
274,0.09842149962090489
275,0.0890021508929147
276,0.06974319730762178
277,0.07849703027298863
278,0.07588130161309918
279,0.06829308319198994
280,0.08619936115953934
281,0.10729401436012903
282,0.1217685813806604
283,0.08041036804970449
284,0.051698838046273426
285,0.13284895388116774
286,0.10663487158029644
287,0.09275118828492743
288,0.06481968732608898
289,0.11068135491752891
290,0.0655418785457317
291,0.07351564238485322
292,0.10941196897424513
293,0.09610838743944282
294,0.016838782507644274
295,0.0478616210181626
296,0.030944437996063574
297,0.02967773752351557
298,0.05134034774388217
299,0.03681211139028951
300,0.039713942887664146
301,0.010709416002471134
302,0.016358363817521152
303,0.02229441651137582
304,0.07108493063415877
305,0.015223491900939714
306,0.06481656095717273
307,0.049477993829492084
308,0.04528040266130982
309,-0.002416523647246463
310,0.017750119046717278
311,0.05427288178728015
312,0.021191048773873053
313,0.029273914871839456
314,0.024391568747703297
315,0.10441827601870896
316,0.06705764640860384
317,0.09134748872320543
318,0.05431612989062088
319,0.018223242876035897
320,0.10412752370950222
321,0.04838123956469664
322,0.04532417182613663
323,0.09433689863188643
324,0.033066160285540235
325,0.17473291825153167
326,0.05803963526981795
327,0.05094758762837106
328,0.05564014712663268
329,0.07750388708060825
330,0.13162967000384884
331,0.05103917420495475
332,0.02617047266102256
333,0.007270530439606791
334,0.0571215249314266
335,0.019539965251243227
336,0.11314605590977404
337,0.06395680950521702
338,0.059531955365818526
339,0.07340834380038307
340,0.07108284638821444
341,0.03258802624962514
342,0.07152626971282922
343,0.09155795748191031
344,0.060729875722210155
