,phi
0,-0.0005137148372291006
1,0.012872160470889847
2,0.03599310820664919
3,0.09874649260680529
4,0.01965255598288716
5,0.00706300537114756
6,0.01665551666730553
7,0.022888376150494716
8,-0.00021484689990125934
9,0.012581129979470909
10,0.008110610640976902
11,0.0847837008957271
12,0.04969449095264112
13,0.06902585272728781
14,0.020233049476543235
15,0.036936736694086425
16,0.016712830502516623
17,0.045887099922104706
18,0.0519276807323276
19,0.0680362445571847
20,0.07840361800554078
21,0.045773718204621935
22,0.04400611290395722
23,0.04135130872639973
24,0.059528435774825125
25,0.06458358838609632
26,-0.0214443978816648
27,0.013799028881691168
28,-0.02891714130764943
29,-0.05358315107228955
30,-0.03630624511857498
31,-0.017214267076408822
32,-0.02655441261429865
33,-0.00333833034281389
34,0.013978807833233325
35,0.03485511106066999
36,0.016338361356190233
37,0.054591889844975934
38,0.0063989526464930625
39,0.02048071276726607
40,-0.0034616394917812237
41,0.020675644114232148
42,0.0035826568911808635
43,0.03368994410220649
44,-0.01160840326593544
45,0.015950146535500257
46,-0.019394322992035588
47,0.05496808724860543
48,0.060168493857389156
49,0.01544633943566101
50,0.016741728572303965
51,-0.0136696515399887
52,0.03727008939341365
53,0.01588535698265307
54,0.03648111983857959
55,-0.013344136286570382
56,-0.015413744502926534
57,-0.03567824464510163
58,-0.011426574520847861
59,0.004149565478594753
60,0.010660915539748475
61,-0.0032578658981486015
62,0.01489209133779233
63,0.0013771996124030076
64,0.06773580913067505
65,0.05344553275669384
66,0.05915485085316524
67,0.0811838213176414
68,0.01871053517666202
69,0.04853093167538976
70,-0.013880740083136368
71,0.04190358741478362
72,0.05481133833042646
73,0.09766685428882498
74,0.09547253020244087
75,0.10571763949461714
76,0.017085008703115946
77,0.021427998729460773
78,0.0321282023807501
79,-0.007254038895015091
80,0.038836573774445715
81,0.02240856369274587
82,0.04191403734266217
83,0.033535807665997105
84,0.04776426869737342
85,0.08034364711620223
86,0.03195947623754098
87,0.04283728847073617
88,0.0636692598887494
89,0.08139004662512253
90,0.03913592401613725
91,0.029832915914246617
92,0.021221974382131255
93,0.08067028774646894
94,0.005034151873517992
95,0.04504953820263515
96,0.0203082889572692
97,0.00992001565315591
98,0.05207450221902194
99,0.06480460436072871
100,0.15544780127607202
101,0.08742090096401237
102,0.06416402378177076
103,0.042960597619703604
104,0.03396686719098913
105,0.02931612678861968
106,0.055903878290133796
107,0.08192419870784004
108,0.0475481159584077
109,0.08047218122910893
110,0.07618927828806604
111,0.04740073178328917
112,0.06048146919735314
113,0.06084355919834646
114,0.10128269010294079
115,0.06410293189571113
116,0.10801819111709031
117,0.054651976930277846
118,0.05275218004194882
119,0.05830836650296864
120,0.0712631822860954
121,0.03150120670803426
122,0.1043068992310067
123,0.11087049893155339
124,0.09379845175628974
125,0.08103229736340176
126,0.06642225319633548
127,0.07491442727890754
128,0.09599345910718894
129,0.07551160046513906
130,0.06531351584841638
131,0.04506103312330161
132,0.09188297997614281
133,0.12728838062161704
134,0.1282835754839322
135,0.0908149973469502
136,0.027178553849022343
137,0.05150811612800204
138,0.05478633888757842
139,0.05565360251744141
140,0.08001133940966292
141,0.08469447458845607
142,0.030845996230046177
143,0.05116310773988702
144,0.10195566545832224
145,0.0819294236717793
146,0.10993941035757042
147,0.11274312600739789
148,0.07436472088046306
149,0.06586527204040625
150,0.03470812880585441
151,0.04391351046614065
152,0.060973098112010765
153,0.0682901778046347
154,0.048977666092199786
155,0.04412889955653073
156,0.02457117626722155
157,0.03388196152697561
158,0.061123094769098905
159,0.024793920499156887
160,0.04797395051946046
161,0.07837540320026846
162,0.010689652841414642
163,0.03190457392414803
164,0.048352760405059605
165,0.02737035021762485
166,-0.0007707830630426441
167,-0.011823671780234557
168,0.023318390682698992
169,0.057171454541807464
170,0.051646055175999434
171,0.07051339996080615
172,0.040364835534660144
173,0.040100974855725606
174,0.02617174348994975
175,0.006916183884453285
176,0.00599606773474282
177,0.028474907594392636
178,-0.014665127746515938
179,0.08173975748078278
180,0.12224785790937574
181,0.04583694026828745
182,0.10476721855405888
183,0.08183171684611444
184,0.11999224097678057
185,0.10652855389799638
186,0.0901801642283254
187,0.08033789965586892
188,0.06159844591148423
189,0.06441381725009933
190,0.09136884352451585
191,0.08220843674613781
192,0.07950713038952056
193,-0.005722481388315757
194,0.03626006367191699
195,-0.006569448042876013
196,0.017721409310922455
197,0.023910379097021428
198,0.06471055500982134
199,0.028822367696356
200,0.02097499435592361
201,0.05478103353957849
202,0.05430294933913272
203,0.056401857545579165
204,0.11429912026852097
205,0.11421499834909826
206,0.08929610032979614
207,0.07051130997523043
208,0.04618596785943251
209,0.0833375514534202
210,0.10573142536101086
211,0.11395688513049693
212,0.0959370294966445
213,0.06611486454858351
214,0.11454939604121342
215,0.08803101598400108
216,0.1056491924670124
217,0.12990243008044788
218,0.09324774055708758
219,0.05680309458408687
220,0.05092187517401262
221,0.05505743413196743
222,0.09495160129769283
223,0.06619444476858206
224,0.09334440238996466
225,0.07031485133111288
226,0.0915344748813916
227,0.10675270485099238
228,0.06639247090188147
229,0.06941406754797776
230,0.09313906130715012
231,0.07243357420849825
232,0.06919879903367863
233,0.04979131355363941
234,0.03389528518502085
235,0.024046228159443198
236,0.023851337004507422
237,0.03202109061999446
238,0.04886215419711099
239,0.07900919132610547
240,0.09075909023279972
241,0.03698589154714624
242,0.05370211867814364
243,0.007920421953586465
244,0.038482160451240026
245,0.06943914737488634
246,0.041332498856218154
247,0.10476983103602848
248,0.04637249907206539
249,0.006781339622789092
250,0.04020338414893581
251,0.019528201841131885
252,0.052239611079503735
253,0.05985969848857659
254,0.12624077535178763
255,0.05565830498498668
256,0.06962897433400413
257,0.08321006233330139
258,0.045258536760207066
259,0.059749974245851246
260,0.08788013510224629
261,0.047803616695039346
262,0.11480750925981481
263,0.03411212118850167
264,0.07173141943911722
265,0.05170927723966495
266,0.08485122350663506
267,0.09229104965980198
268,0.1234788594134745
269,0.10233761032228499
270,0.10209468969113798
271,0.1416147092467793
272,0.08306794331415238
273,0.08734927876601356
274,0.09613766811191354
275,0.12499775643062842
276,0.16620443453790565
277,0.15708216999628444
278,0.12235131219537386
279,0.11158069210699491
280,0.08931712076164423
281,0.10496423988660061
282,0.10961859757169738
283,0.09431415569709843
284,0.08652204639833172
285,0.061916244295084355
286,0.11793935264503023
287,0.1050054769096909
288,0.08613813212488419
289,0.05407236766128838
290,0.0842399027257371
291,0.06039891476711213
292,0.07713346946392755
293,0.06501517040748232
294,0.09538322351110916
295,0.10535189201886636
296,0.11755113782434042
297,0.08041784160414019
298,0.15375390815898166
299,0.08253555968076824
300,0.09331775507387428
301,0.12006539047193078
302,0.0956339815881652
303,0.07040576570365653
304,0.11306916375721013
305,0.07877668043080661
306,0.12600565197451918
307,0.12934842313476114
308,0.10902190668982957
309,0.08211595488441222
310,0.11242022323594927
311,0.1283861053532332
312,0.15743328757300545
