,phi
0,0.1675543689711151
1,0.08083233830178314
2,0.13041844989736634
3,0.05485866079933468
4,0.018044729463219635
5,-0.020164482069307876
6,-0.020271811315185805
7,0.06312301273193185
8,0.008385097334209826
9,-0.010504849940298067
10,0.10143955351033722
11,0.0763245099749118
12,0.039832566376430546
13,0.1570361028750823
14,-0.011256154661443344
15,0.0518534419147538
16,0.021049948347800426
17,0.14662516602492728
18,0.024913801199404274
19,-0.003743107449991359
20,0.07589519299140031
21,0.05754189194628176
22,0.13267236406080207
23,0.16605175952882475
24,0.16267088828367132
25,0.22036035794303516
26,0.21306196922333887
27,0.1397560942887425
28,0.010531682251767413
29,0.060869098568496184
30,0.08340824020285222
31,-0.01791056790587236
32,0.15628479815393717
33,0.12247608570240286
34,0.13599957068301652
35,0.1344969612407262
36,0.09467781102003035
37,0.08866737325086861
38,0.06559158538712308
39,0.06199605565021402
40,0.052443752767082144
41,0.11571434321209607
42,0.10895260072178928
43,0.23442048915303806
44,0.20254370312730594
45,0.23066396554731222
46,0.11120651488522489
47,0.13975609428874267
48,0.1021908582314825
49,0.10143955351033714
50,0.1675543689711151
51,0.14286864241920139
52,0.026094422904061037
53,0.001516025598025109
54,0.15038168963065338
55,0.168520332184016
56,0.04621865650616462
57,0.03682734749184975
58,-0.04957269543984863
59,0.02931430028039769
60,0.07288997410681952
61,0.09135060439781585
62,0.06312301273193185
63,0.10820129600064393
64,0.0933898600694959
65,0.16272455290661011
66,0.09016998269315916
67,-0.029609455706561823
68,0.10369346767377274
69,0.12848652347156453
70,0.13449696124072602
71,0.025235788937037908
72,0.175067416182567
73,0.1976065578169231
74,0.15478218871164662
75,0.14576653205790416
76,0.06913345050109353
77,0.10669868655835353
78,0.12633993855400685
79,0.06988475522223857
80,0.13760950937118477
81,0.027436038477534654
82,0.04058387109757575
83,0.00774112185894248
84,0.0796517165971263
85,0.05711257496277027
86,-0.036049210459234975
87,0.058615184405060666
88,-0.03755181990152537
89,0.11496303849095063
90,0.0518534419147538
91,1.3416155734711949e-05
92,0.020727960610166716
93,0.06838214577994833
94,0.003018635040315506
95,0.08415954492399734
96,0.04369641922803439
97,-0.006533667842816292
98,-0.07318512953298358
99,1.3416155734790147e-05
100,-0.056334437930155336
101,-0.10806713444329658
102,-0.03830312462267073
103,0.06462562217422217
104,0.011497645464668629
105,-0.08713793149710883
106,-0.026282249084347314
107,0.009029072809477172
108,-0.011148825415565259
109,0.12097347626011239
110,0.07449991279498769
111,-0.14327112709124332
112,-0.1216979486697882
113,0.03156821444383329
114,0.032426848410856336
115,0.04519902867032479
116,0.10744999127949889
117,0.05271207588177685
118,0.05560996552047972
119,0.013751559628104147
120,0.06408897594483291
121,0.021049948347800506
122,0.002267330319170386
123,-0.03486858875457829
124,-0.053221889799696845
125,0.04847257066960045
126,-0.0005232300736546262
127,-0.042810952949541764
128,0.033070823886123764
129,0.05711257496277027
130,0.07439258354910976
131,-0.07200450782832693
132,-0.03680051518038025
133,0.04208648053986599
134,0.12408602439057119
135,-0.06486711297744746
136,0.0653769268953673
137,0.023303862511236024
138,0.05298039899647156
139,0.12183211022713551
140,-0.0037431074499912026
141,0.033070823886123764
142,0.013751559628104225
143,0.024806471953526577
144,-0.07876625031863371
145,-0.07286314179534997
146,0.03757865221299495
147,-0.030790077411218506
148,0.016542120020929314
149,0.00022807464749057232
150,0.14050739900988785
151,0.010531682251767647
152,0.13299435179843563
153,0.193098729490052
154,0.14351261789446865
155,0.03006560500154289
156,0.07213866938567416
157,0.08126165528529447
158,0.01804472946321971
159,0.17131089257684107
160,0.03307082388612368
161,-0.000737888565410252
162,-0.005031058400525896
